iter	Passed	Remaining
0	213	212836
1	401	200225
2	590	196311
3	792	197318
4	988	196786
5	1172	194294
6	1369	194277
7	1549	192169
8	1735	191127
9	1916	189694
10	2101	188904
11	2286	188239
12	2485	188714
13	2673	188267
14	2875	188815
15	3090	190090
16	3321	192074
17	3613	197112
18	3822	197373
19	4040	197963
20	4277	199392
21	4593	204193
22	4816	204605
23	5057	205662
24	5275	205755
25	5486	205529
26	5698	205340
27	5875	203969
28	6078	203524
29	6264	202537
30	6462	202019
31	6667	201699
32	6857	200943
33	7054	200423
34	7231	199385
35	7509	201091
36	7693	200231
37	7871	199269
38	8051	198403
39	8234	197626
40	8409	196701
41	8594	196031
42	8801	195875
43	9008	195731
44	9216	195589
45	9476	196526
46	9762	197954
47	10011	198559
48	10264	199224
49	10540	200260
50	10786	200707
51	11018	200872
52	11213	200353
53	11448	200558
54	11659	200329
55	11865	200017
56	12067	199638
57	12277	199411
58	12471	198905
59	12693	198861
60	12881	198290
61	13050	197445
62	13224	196693
63	13396	195916
64	13580	195349
65	13763	194779
66	13945	194198
67	14151	193963
68	14352	193654
69	14541	193189
70	14726	192683
71	14905	192117
72	15087	191590
73	15288	191308
74	15468	190783
75	15632	190062
76	15838	189855
77	16020	189371
78	16201	188879
79	16376	188327
80	16539	187650
81	16713	187108
82	16892	186634
83	17069	186142
84	17246	185657
85	17417	185115
86	17604	184749
87	17779	184260
88	17962	183867
89	18128	183302
90	18306	182861
91	18497	182559
92	18669	182077
93	18852	181708
94	19039	181376
95	19248	181253
96	19434	180917
97	19619	180580
98	19796	180170
99	19974	179770
100	20132	179201
101	20316	178860
102	20497	178503
103	20690	178260
104	20907	178209
105	21205	178842
106	21416	178736
107	21622	178588
108	21820	178365
109	22001	178011
110	22172	177579
111	22349	177197
112	22531	176863
113	22702	176439
114	22880	176077
115	23057	175710
116	23243	175421
117	23423	175079
118	23596	174693
119	23760	174240
120	23942	173926
121	24106	173488
122	24279	173115
123	24464	172831
124	24646	172527
125	24823	172185
126	24992	171796
127	25169	171463
128	25334	171059
129	25508	170708
130	25668	170274
131	25837	169898
132	26002	169501
133	26189	169251
134	26357	168880
135	26529	168542
136	26696	168167
137	26879	167898
138	27048	167546
139	27213	167166
140	27378	166795
141	27550	166466
142	27728	166175
143	27905	165883
144	28067	165498
145	28242	165201
146	28421	164919
147	28587	164569
148	28753	164221
149	28925	163913
150	29090	163561
151	29286	163389
152	29446	163014
153	29615	162694
154	29774	162317
155	29954	162060
156	30130	161786
157	30298	161461
158	30487	161258
159	30661	160974
160	30842	160727
161	31014	160431
162	31202	160222
163	31387	160001
164	31559	159712
165	31773	159635
166	31961	159424
167	32146	159199
168	32333	158991
169	32511	158730
170	32699	158523
171	32875	158259
172	33053	158008
173	33247	157832
174	33427	157586
175	33617	157391
176	33863	157453
177	34052	157251
178	34217	156942
179	34391	156672
180	34583	156485
181	34772	156285
182	34954	156055
183	35121	155757
184	35310	155555
185	35511	155412
186	35715	155276
187	35884	154988
188	36054	154711
189	36249	154538
190	36449	154384
191	36630	154154
192	36922	154385
193	37116	154205
194	37303	153996
195	37487	153776
196	37672	153560
197	37860	153352
198	38041	153122
199	38246	152985
200	38456	152870
201	38654	152704
202	38851	152535
203	39026	152281
204	39203	152032
205	39370	151747
206	39531	151441
207	39746	151342
208	40285	152466
209	40607	152762
210	40892	152912
211	41187	153091
212	41445	153132
213	41743	153319
214	41987	153301
215	42195	153152
216	42461	153214
217	42682	153108
218	43109	153736
219	43690	154901
220	44071	155347
221	44482	155890
222	44829	156198
223	45141	156383
224	45419	156446
225	45722	156588
226	45988	156602
227	46278	156697
228	46539	156690
229	46760	156547
230	46981	156401
231	47225	156332
232	47546	156515
233	47792	156448
234	48047	156409
235	48362	156562
236	48588	156427
237	48795	156226
238	48975	155943
239	49209	155830
240	49413	155622
241	49611	155393
242	49802	155146
243	50004	154930
244	50196	154685
245	50411	154513
246	50621	154323
247	50847	154183
248	51045	153956
249	51244	153734
250	51425	153456
251	51667	153361
252	51847	153084
253	52020	152784
254	52190	152479
255	52340	152113
256	52516	151827
257	52688	151531
258	52856	151221
259	53023	150913
260	53190	150603
261	53367	150326
262	53565	150106
263	53764	149887
264	53939	149605
265	54124	149350
266	54285	149030
267	54437	148687
268	54599	148371
269	54767	148074
270	54940	147792
271	55122	147533
272	55305	147278
273	55499	147053
274	55678	146788
275	55846	146495
276	56014	146203
277	56182	145913
278	56342	145601
279	56500	145286
280	56668	144998
281	56829	144693
282	56993	144396
283	57143	144066
284	57314	143789
285	57483	143507
286	57640	143198
287	57827	142963
288	58027	142759
289	58208	142509
290	58383	142246
291	58554	141975
292	58719	141688
293	58893	141424
294	59054	141130
295	59219	140847
296	59368	140525
297	59533	140243
298	59696	139957
299	59873	139704
300	60040	139429
301	60208	139156
302	60383	138902
303	60551	138631
304	60709	138338
305	60851	138010
306	61008	137716
307	61173	137441
308	61343	137180
309	61518	136927
310	61689	136669
311	61843	136372
312	62012	136110
313	62189	135865
314	62365	135621
315	62513	135313
316	62675	135039
317	62830	134750
318	62990	134472
319	63155	134204
320	63320	133938
321	63520	133748
322	63683	133479
323	63864	133248
324	64035	132997
325	64207	132747
326	64370	132481
327	64533	132214
328	64693	131942
329	64854	131675
330	65005	131385
331	65141	131066
332	65292	130780
333	65452	130512
334	65608	130236
335	65778	129991
336	65923	129695
337	66066	129397
338	66238	129154
339	66396	128886
340	66556	128623
341	66708	128345
342	66858	128063
343	67001	127770
344	67151	127490
345	67317	127241
346	67458	126946
347	67632	126712
348	67793	126457
349	67967	126224
350	68119	125952
351	68270	125679
352	68425	125413
353	68577	125144
354	68732	124879
355	68890	124622
356	69053	124373
357	69204	124104
358	69354	123834
359	69504	123563
360	69661	123306
361	69821	123056
362	69977	122798
363	70137	122548
364	70296	122297
365	70445	122028
366	70608	121784
367	70771	121542
368	70915	121266
369	71063	121000
370	71224	120754
371	71386	120512
372	71524	120230
373	71689	119994
374	71846	119743
375	72003	119495
376	72194	119302
377	72366	119079
378	72522	118829
